text,label
I feel overwhelmed by the board exam and I cannot focus on anything else.,High
I feel very anxious about tomorrow's paper and I feel like I will fail.,High
I am relaxed before tomorrow's paper because I revised consistently.,Low
I feel prepared for tomorrow's paper because I understand the topics clearly.,Low
I feel terrified of the entrance exam and my sleep is badly affected.,High
I feel pressure for the math test though I am trying breathing exercises.,Moderate
I feel a little worried about tomorrow's paper yet I am still preparing daily.,Moderate
I feel calm about the math test because I understand the topics clearly.,Low
I feel overwhelmed by the math test and I feel like I will fail.,High
I am extremely stressed about the math test and I cannot focus on anything else.,High
I feel terrified of my semester assessment and I feel like I will fail.,High
I panic when I think about my final exams and I feel like I will fail.,High
I feel prepared for the math test because I revised consistently.,Low
I feel overwhelmed by the board exam and I keep thinking about worst outcomes.,High
I feel very anxious about tomorrow's paper and I keep thinking about worst outcomes.,High
I am slightly stressed about the board exam but I believe I can handle it.,Moderate
I am slightly stressed about the chemistry exam though I am trying breathing exercises.,Moderate
I am slightly stressed about the chemistry exam and I need better time management.,Moderate
I feel calm about tomorrow's paper after practicing many mock tests.,Low
I feel overwhelmed by the board exam and I keep thinking about worst outcomes.,High
I am confident for the math test after practicing many mock tests.,Low
I feel a little worried about tomorrow's paper but I think I can improve with practice.,Moderate
I am somewhat nervous for the entrance exam and I need better time management.,Moderate
I feel calm about the entrance exam after practicing many mock tests.,Low
I am somewhat nervous for tomorrow's paper but I believe I can handle it.,Moderate
I am confident for the entrance exam and my study plan is working.,Low
I am concerned about the chemistry exam and I need better time management.,Moderate
I feel uncertain about the math test and I need better time management.,Moderate
I feel prepared for the math test and my study plan is working.,Low
I am extremely stressed about the entrance exam and I cannot focus on anything else.,High
I feel pressure for the board exam though I am trying breathing exercises.,Moderate
I feel calm about the chemistry exam because I revised consistently.,Low
I feel a little worried about the board exam though I am trying breathing exercises.,Moderate
I am extremely stressed about the chemistry exam and I keep thinking about worst outcomes.,High
I am comfortable with my final exams because I revised consistently.,Low
I am comfortable with my final exams after practicing many mock tests.,Low
I feel overwhelmed by my semester assessment and my sleep is badly affected.,High
I feel pressure for the math test and I need better time management.,Moderate
I am comfortable with tomorrow's paper because I revised consistently.,Low
I am concerned about tomorrow's paper and I need better time management.,Moderate
I am concerned about the board exam yet I am still preparing daily.,Moderate
I feel prepared for the board exam and I think I can do well.,Low
I feel calm about tomorrow's paper because I revised consistently.,Low
I feel terrified of tomorrow's paper and my heart races all day.,High
I feel overwhelmed by the chemistry exam and my sleep is badly affected.,High
I am extremely stressed about the chemistry exam and I feel like I will fail.,High
I am comfortable with the math test because I understand the topics clearly.,Low
I feel a little worried about the math test yet I am still preparing daily.,Moderate
I am relaxed before my final exams because I revised consistently.,Low
I am slightly stressed about my semester assessment but I believe I can handle it.,Moderate
I feel pressure for my final exams but I believe I can handle it.,Moderate
I feel overwhelmed by the math test and I cannot focus on anything else.,High
I feel very anxious about the math test and I feel like I will fail.,High
I feel overwhelmed by my final exams and I cannot focus on anything else.,High
I am slightly stressed about the board exam though I am trying breathing exercises.,Moderate
I feel uncertain about the chemistry exam though I am trying breathing exercises.,Moderate
I am confident for my final exams because I understand the topics clearly.,Low
I am comfortable with the math test because I understand the topics clearly.,Low
I am extremely stressed about the math test and I keep thinking about worst outcomes.,High
I feel prepared for my final exams because I understand the topics clearly.,Low
I am comfortable with the entrance exam because I understand the topics clearly.,Low
I feel very anxious about my final exams and my heart races all day.,High
I am concerned about the entrance exam but I believe I can handle it.,Moderate
I am comfortable with the chemistry exam after practicing many mock tests.,Low
I feel uncertain about the math test though I am trying breathing exercises.,Moderate
I am concerned about my final exams and I need better time management.,Moderate
I am slightly stressed about my final exams though I am trying breathing exercises.,Moderate
I cannot stop worrying about the entrance exam and I keep thinking about worst outcomes.,High
I am somewhat nervous for the chemistry exam yet I am still preparing daily.,Moderate
I cannot stop worrying about the math test and my sleep is badly affected.,High
I feel uncertain about tomorrow's paper but I believe I can handle it.,Moderate
I am concerned about the math test and I need better time management.,Moderate
I feel overwhelmed by my semester assessment and I feel like I will fail.,High
I am extremely stressed about the chemistry exam and my sleep is badly affected.,High
I feel terrified of the entrance exam and my heart races all day.,High
I feel overwhelmed by the board exam and I keep thinking about worst outcomes.,High
I feel calm about the chemistry exam because I understand the topics clearly.,Low
I feel uncertain about the entrance exam but I think I can improve with practice.,Moderate
I feel uncertain about the chemistry exam but I believe I can handle it.,Moderate
I feel uncertain about the entrance exam though I am trying breathing exercises.,Moderate
I feel a little worried about tomorrow's paper but I think I can improve with practice.,Moderate
I am extremely stressed about the math test and I cannot focus on anything else.,High
I am somewhat nervous for the board exam but I believe I can handle it.,Moderate
I feel pressure for the math test but I believe I can handle it.,Moderate
I am somewhat nervous for my final exams but I believe I can handle it.,Moderate
I am confident for the math test after practicing many mock tests.,Low
I am relaxed before tomorrow's paper and my study plan is working.,Low
I am extremely stressed about my semester assessment and my heart races all day.,High
I feel prepared for the entrance exam and my study plan is working.,Low
I feel uncertain about the chemistry exam but I believe I can handle it.,Moderate
I am comfortable with the math test and my study plan is working.,Low
I feel very anxious about my final exams and I cannot focus on anything else.,High
I feel calm about tomorrow's paper after practicing many mock tests.,Low
I feel a little worried about the board exam yet I am still preparing daily.,Moderate
I feel uncertain about the entrance exam though I am trying breathing exercises.,Moderate
I feel pressure for my final exams though I am trying breathing exercises.,Moderate
I feel prepared for my semester assessment because I understand the topics clearly.,Low
I feel positive about the chemistry exam because I understand the topics clearly.,Low
I am slightly stressed about my semester assessment yet I am still preparing daily.,Moderate
I panic when I think about tomorrow's paper and my heart races all day.,High
I am extremely stressed about the entrance exam and I cannot focus on anything else.,High
I am confident for the chemistry exam after practicing many mock tests.,Low
I feel prepared for the math test and my study plan is working.,Low
I am relaxed before the math test and my study plan is working.,Low
I panic when I think about tomorrow's paper and I keep thinking about worst outcomes.,High
I feel pressure for the entrance exam but I believe I can handle it.,Moderate
I feel very anxious about the board exam and my sleep is badly affected.,High
I feel prepared for the entrance exam because I revised consistently.,Low
I am relaxed before my semester assessment and my study plan is working.,Low
I am confident for the chemistry exam after practicing many mock tests.,Low
I am slightly stressed about my semester assessment yet I am still preparing daily.,Moderate
I am comfortable with tomorrow's paper because I understand the topics clearly.,Low
I am somewhat nervous for my semester assessment though I am trying breathing exercises.,Moderate
I feel calm about the entrance exam because I revised consistently.,Low
I feel prepared for the math test because I understand the topics clearly.,Low
I feel terrified of my semester assessment and I keep thinking about worst outcomes.,High
I feel terrified of the chemistry exam and my sleep is badly affected.,High
I am extremely stressed about the entrance exam and my heart races all day.,High
I feel prepared for the board exam because I understand the topics clearly.,Low
I feel a little worried about my semester assessment yet I am still preparing daily.,Moderate
I cannot stop worrying about tomorrow's paper and I feel like I will fail.,High
I am extremely stressed about the chemistry exam and my heart races all day.,High
I feel very anxious about my final exams and my heart races all day.,High
I feel uncertain about the chemistry exam but I think I can improve with practice.,Moderate
I am somewhat nervous for tomorrow's paper yet I am still preparing daily.,Moderate
I feel terrified of the entrance exam and my sleep is badly affected.,High
I cannot stop worrying about tomorrow's paper and I feel like I will fail.,High
I feel overwhelmed by the board exam and my sleep is badly affected.,High
I am concerned about the chemistry exam and I need better time management.,Moderate
I am comfortable with my final exams because I understand the topics clearly.,Low
I am relaxed before the math test after practicing many mock tests.,Low
I am confident for the chemistry exam and my study plan is working.,Low
I feel positive about tomorrow's paper because I revised consistently.,Low
I am comfortable with the entrance exam because I revised consistently.,Low
I am concerned about the board exam but I think I can improve with practice.,Moderate
I am comfortable with the board exam and I think I can do well.,Low
I feel terrified of the chemistry exam and I cannot focus on anything else.,High
I feel terrified of my semester assessment and I cannot focus on anything else.,High
I am concerned about the entrance exam yet I am still preparing daily.,Moderate
I am extremely stressed about the chemistry exam and I feel like I will fail.,High
I feel terrified of my final exams and I feel like I will fail.,High
I am comfortable with the chemistry exam because I understand the topics clearly.,Low
I feel prepared for the math test and my study plan is working.,Low
I feel positive about the math test because I understand the topics clearly.,Low
I feel positive about the math test and I think I can do well.,Low
I feel prepared for my semester assessment because I understand the topics clearly.,Low
I am comfortable with my semester assessment because I understand the topics clearly.,Low
I am comfortable with the entrance exam and I think I can do well.,Low
I am slightly stressed about the math test but I believe I can handle it.,Moderate
I feel pressure for the chemistry exam yet I am still preparing daily.,Moderate
I am concerned about tomorrow's paper and I need better time management.,Moderate
I feel positive about the chemistry exam and I think I can do well.,Low
I feel very anxious about the math test and my sleep is badly affected.,High
I am extremely stressed about the entrance exam and I feel like I will fail.,High
I feel very anxious about my semester assessment and I feel like I will fail.,High
I am comfortable with the entrance exam because I understand the topics clearly.,Low
I am concerned about the entrance exam but I think I can improve with practice.,Moderate
I feel overwhelmed by tomorrow's paper and I keep thinking about worst outcomes.,High
I am extremely stressed about tomorrow's paper and my heart races all day.,High
I am confident for tomorrow's paper and I think I can do well.,Low
I am comfortable with tomorrow's paper because I understand the topics clearly.,Low
I feel prepared for the math test and I think I can do well.,Low
I feel prepared for the board exam because I understand the topics clearly.,Low
I feel uncertain about tomorrow's paper but I think I can improve with practice.,Moderate
I am confident for the chemistry exam after practicing many mock tests.,Low
I am concerned about my semester assessment though I am trying breathing exercises.,Moderate
I feel terrified of my semester assessment and I keep thinking about worst outcomes.,High
I feel terrified of the board exam and I feel like I will fail.,High
I am slightly stressed about the math test yet I am still preparing daily.,Moderate
I cannot stop worrying about the math test and my sleep is badly affected.,High
I feel very anxious about tomorrow's paper and my heart races all day.,High
I feel a little worried about the math test though I am trying breathing exercises.,Moderate
I am extremely stressed about my final exams and my sleep is badly affected.,High
I am confident for the math test and my study plan is working.,Low
I feel pressure for tomorrow's paper though I am trying breathing exercises.,Moderate
I panic when I think about the entrance exam and my sleep is badly affected.,High
I feel overwhelmed by the chemistry exam and my sleep is badly affected.,High
I am slightly stressed about tomorrow's paper but I believe I can handle it.,Moderate
I am slightly stressed about the chemistry exam but I think I can improve with practice.,Moderate
I feel overwhelmed by my final exams and my sleep is badly affected.,High
I am somewhat nervous for my semester assessment but I think I can improve with practice.,Moderate
I am comfortable with tomorrow's paper and I think I can do well.,Low
I feel pressure for the entrance exam and I need better time management.,Moderate
I feel very anxious about my final exams and I cannot focus on anything else.,High
I am relaxed before my semester assessment because I revised consistently.,Low
I feel prepared for my final exams because I revised consistently.,Low
I am concerned about the math test yet I am still preparing daily.,Moderate
I am concerned about the entrance exam but I believe I can handle it.,Moderate
I am slightly stressed about the chemistry exam yet I am still preparing daily.,Moderate
I feel terrified of tomorrow's paper and I keep thinking about worst outcomes.,High
I am slightly stressed about the entrance exam and I need better time management.,Moderate
I feel positive about the board exam and I think I can do well.,Low
I feel very anxious about the chemistry exam and my heart races all day.,High
I am somewhat nervous for the board exam and I need better time management.,Moderate
I feel calm about the chemistry exam because I understand the topics clearly.,Low
I feel terrified of the chemistry exam and my sleep is badly affected.,High
I feel a little worried about my semester assessment yet I am still preparing daily.,Moderate
I feel calm about my semester assessment because I revised consistently.,Low
I cannot stop worrying about my semester assessment and my sleep is badly affected.,High
I feel pressure for the board exam and I need better time management.,Moderate
I feel terrified of the chemistry exam and my heart races all day.,High
I feel positive about my semester assessment after practicing many mock tests.,Low
I feel overwhelmed by the board exam and I keep thinking about worst outcomes.,High
I am confident for the chemistry exam because I revised consistently.,Low
I cannot stop worrying about the entrance exam and my sleep is badly affected.,High
I cannot stop worrying about the entrance exam and my heart races all day.,High
I panic when I think about tomorrow's paper and my sleep is badly affected.,High
I feel very anxious about my semester assessment and I cannot focus on anything else.,High
I am comfortable with the entrance exam because I revised consistently.,Low
I cannot stop worrying about my final exams and I keep thinking about worst outcomes.,High
I feel pressure for tomorrow's paper though I am trying breathing exercises.,Moderate
I feel positive about my final exams because I revised consistently.,Low
I am relaxed before the entrance exam and I think I can do well.,Low
I feel a little worried about the board exam but I believe I can handle it.,Moderate
I am slightly stressed about my final exams but I think I can improve with practice.,Moderate
I feel a little worried about the math test but I believe I can handle it.,Moderate
I am somewhat nervous for my final exams but I think I can improve with practice.,Moderate
I panic when I think about the board exam and I cannot focus on anything else.,High
I am comfortable with my final exams because I revised consistently.,Low
I cannot stop worrying about tomorrow's paper and I cannot focus on anything else.,High
I feel pressure for the entrance exam but I believe I can handle it.,Moderate
I am relaxed before my final exams because I revised consistently.,Low
I feel a little worried about the board exam and I need better time management.,Moderate
I feel a little worried about my final exams though I am trying breathing exercises.,Moderate
I am confident for the math test because I understand the topics clearly.,Low
I feel pressure for the chemistry exam but I believe I can handle it.,Moderate
I am confident for the board exam and I think I can do well.,Low
I cannot stop worrying about the chemistry exam and I keep thinking about worst outcomes.,High
I am extremely stressed about my semester assessment and I keep thinking about worst outcomes.,High
I panic when I think about the math test and my heart races all day.,High
I am relaxed before the chemistry exam because I understand the topics clearly.,Low
I cannot stop worrying about the chemistry exam and I cannot focus on anything else.,High
I feel a little worried about the math test yet I am still preparing daily.,Moderate
I am confident for the math test because I revised consistently.,Low
I cannot stop worrying about the math test and I keep thinking about worst outcomes.,High
I feel prepared for the chemistry exam because I understand the topics clearly.,Low
I feel terrified of my semester assessment and I keep thinking about worst outcomes.,High
I feel calm about my final exams because I understand the topics clearly.,Low
I am concerned about my final exams but I think I can improve with practice.,Moderate
I am somewhat nervous for the entrance exam yet I am still preparing daily.,Moderate
